Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
International District Improvement Association,1969,"310 Maynard Ave South, Seattle, WA 98104 ",WA,SEATTLE,KING,Hybrid,47.599697,-122.324701,geocodio,"310 Maynard Ave South, Seattle, WA 98104","310 Maynard Ave S, Seattle, WA 98104",1
Asian Youth Services,1992,"3117 W. Lawrence Chicago, IL 60625",IL,CHICAGO,COOK,CSO,41.968318,-87.706653,geocodio,"3117 W. Lawrence Chicago, IL 60625","3117 W Lawrence Ave, Chicago, IL 60625",1
United Asian Services of Wisconsin,1984,"312 N. Third St. Madison, WI, 53704",WI,MADISON,DANE,CSO,43.097349,-89.359594,geocodio,"312 N. Third St. Madison, WI, 53704","312 N 3rd St, Madison, WI 53704",1
New York Asian Women's Center,1982,"32 Broadway, 10th Floor New York, NY 10004",NY,NEW YORK,NEW YORK,CSO,40.705921,-74.013021,geocodio,"32 Broadway, 10th Floor New York, NY 10004","32 Broadway, Fl 10, New York, NY 10004",1
Massachusetts Asian AIDS Prevention Project,1993,"322 Tremont St Boston, MA 02116",MA,BOSTON,SUFFOLK,CSO,42.348558,-71.066183,geocodio,"322 Tremont St Boston, MA 02116","322 Tremont St, Boston, MA 02116",1
NAMI Asian Pacific Los Angeles,1986,"3250 Wilshire Blvd., Suite 1501 Los Angeles , CA 90010 ",CA,LOS ANGELES,LOS ANGELES,Hybrid,34.06162,-118.29337,geocodio,"3250 Wilshire Blvd., Suite 1501 Los Angeles , CA 90010","3250 W Wilshire Blvd, Ste 1501, Los Angeles, CA 90010",1
Asian Pacific Community in Action,2002,"326 E Coronado Road, Suite 200, Phoenix, AZ 85004",AZ,PHOENIX,MARICOPA,CSO,33.468006,-112.068044,geocodio,"326 E Coronado Road, Suite 200, Phoenix, AZ 85004","326 E Coronado Rd, Ste 200, Phoenix, AZ 85004",1
Leadership Education for Asian Pacific,1982,"327 E. 2nd Street, Suite 226 Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CSO,34.04892,-118.24085,geocodio,"327 E. 2nd Street, Suite 226 Los Angeles, CA 90012","327 E 2nd St, Ste 226, Los Angeles, CA 90012",1
Asian American Civic Organization,2013,"334 HUNTERS RUN DR, BEL AIR, MD 21015",MD,BEL AIR,HARFORD,CSO,39.499958,-76.317331,geocodio,"334 HUNTERS RUN DR, BEL AIR, MD 21015","334 Hunters Run Dr, Bel Air, MD 21015",1
National Asian Pacific American Families Against Substance Abuse,1988,"340 E 2nd St #409, Los Angeles, CA 90012",CA,LOS ANGELES,LOS ANGELES,CSO,34.04836,-118.24075,geocodio,"340 E 2nd St #409, Los Angeles, CA 90012","340 E 2nd St, Ste 409, Los Angeles, CA 90012",1
Asian Pacific Americans for Progress,2004,"340 S Lemon Ave, Unit 5588, Walnut ",CA,WALNUT,LOS ANGELES,Hybrid,34.019433,-117.865207,geocodio,"340 S Lemon Ave, Unit 5588, Walnut","340 Lemon Ave, Unit 5588, Walnut, CA 91789",0.2
Center for the Pacific Asian Family,1978,"3424 Wilshire Blvd., Suite #1000 Los Angeles, CA 90010",CA,LOS ANGELES,LOS ANGELES,CSO,34.061902,-118.298894,geocodio,"3424 Wilshire Blvd., Suite #1000 Los Angeles, CA 90010","3424 Wilshire Blvd, Ste 1000, Los Angeles, CA 90010",1
Asian American Advocacy Clinic,2012,"3430 E FLAMINGO RD STE 100,LAS VEGAS, NV 89121",NV,LAS VEGAS,CLARK,CSO,36.115716,-115.100446,geocodio,"3430 E FLAMINGO RD STE 100,LAS VEGAS, NV 89121","3430 E Flamingo Rd, Ste 100, Las Vegas, NV 89121",1
Asian Health and Service Center,1983,"3430 SE Powell Blvd, Portland, OR 97202",OR,PORTLAND,MULTNOMAH,CSO,45.496274,-122.62889,geocodio,"3430 SE Powell Blvd, Portland, OR 97202","3430 SE Powell Blvd, Portland, OR 97202",1
Center for Pan Asian Community Services,1980,"3510 Shallowford Road NE Atlanta, GA 30341",GA,ATLANTA,FULTON,Hybrid,33.891489,-84.286961,geocodio,"3510 Shallowford Road NE Atlanta, GA 30341","3510 Shallowford Rd, Atlanta, GA 30341",1
Asian Womens Shelter,1988,"3543 18th Street # 19 San Francisco, CA 94110",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.76142,-122.422619,geocodio,"3543 18th Street # 19 San Francisco, CA 94110","3543 18th St, Ste 19, San Francisco, CA 94110",1
Asian American Committee on Crime,1989,"360 A 8th St Oakland, CA ",CA,OAKLAND,ALAMEDA,CSO,37.80609,-122.293555,geocodio,"360 A 8th St Oakland, CA","8th, Oakland, CA 94607",0.7
Asian Advisory Committee on Crime,1989,"360 A 8TH ST,OAKLAND, CA 94607",CA,OAKLAND,ALAMEDA,CSO,38.01281,-121.806059,geocodio,"360 A 8TH ST,OAKLAND, CA 94607","3 E 8th St, Antioch, CA 94509",0.72
Asian American Relief Organization of Wisconsin,2009,"3620 E Layton Ave Ste 22, Cudahy, Wisconsin 53110-1462",WI,CUDAHY,MILWAUKEE,CSO,42.959401,-87.8593,geocodio,"3620 E Layton Ave Ste 22, Cudahy, Wisconsin 53110-1462","3620 E Layton Ave, Ste 22, Cudahy, WI 53110",1
